"reg","Data_type","Key","value"
"$reglocation\SOFTWARE\Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppContainer\Storage\microsoft.microsoftedge_8wekyb3d8bbwe\MicrosoftEdge\Main","REG_DWORD","DoNotTrack","1"
"$reglocation\SOFTWARE\Microsoft\Input\TIPC","REG_DWORD","Enabled","0"
"$reglocation\SOFTWARE\Microsoft\InputPersonalization","REG_DWORD","RestrictImplicitInkCollection","1"
"$reglocation\SOFTWARE\Microsoft\InputPersonalization","REG_DWORD","RestrictImplicitTextCollection","1"
"$reglocation\SOFTWARE\Microsoft\InputPersonalization\TrainedDataStore","REG_DWORD","HarvestContacts","0"
"$reglocation\SOFTWARE\Microsoft\Internet Explorer\Main","REG_DWORD","DoNotTrack","1"
"$reglocation\SOFTWARE\Microsoft\Personalization\Settings","REG_DWORD","AcceptedPrivacyPolicy","0"
"$reglocation\SOFTWARE\Microsoft\Siuf\Rules","REG_DWORD","NumberOfSIUFInPeriod","0"
"$reglocation\SOFTWARE\Microsoft\Siuf\Rules","REG_DWORD","PeriodInNanoSeconds","0"
"$reglocation\SOFTWARE\Microsoft\Speech_OneCore\Preferences","REG_DWORD","VoiceActivationEnableAboveLockscreen","0"
"$reglocation\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Sensor\Permissions\{BFA794E4-F964-4FDB-90F6-51056BFE4B44}","REG_DWORD","SensorPermissionState","0"
"$reglocation\SOFTWARE\Microsoft\Windows\CurrentVersion\AdvertisingInfo","REG_DWORD","Enabled","0"
"$reglocation\SOFTWARE\Microsoft\Windows\CurrentVersion\BackgroundAccessApplications","REG_DWORD","GlobalUserDisabled","1"
"$reglocation\SOFTWARE\Microsoft\Windows\CurrentVersion\CapabilityAccessManager\ConsentStore\appointments","REG_SZ","Value","Deny"
"$reglocation\SOFTWARE\Microsoft\Windows\CurrentVersion\CapabilityAccessManager\ConsentStore\broadFileSystemAccess","REG_SZ","Value","Deny"
"$reglocation\SOFTWARE\Microsoft\Windows\CurrentVersion\CapabilityAccessManager\ConsentStore\cellularData","REG_SZ","Value","Deny"
"$reglocation\SOFTWARE\Microsoft\Windows\CurrentVersion\CapabilityAccessManager\ConsentStore\chat","REG_SZ","Value","Deny"
"$reglocation\SOFTWARE\Microsoft\Windows\CurrentVersion\CapabilityAccessManager\ConsentStore\contacts","REG_SZ","Value","Deny"
"$reglocation\SOFTWARE\Microsoft\Windows\CurrentVersion\CapabilityAccessManager\ConsentStore\documentsLibrary","REG_SZ","Value","Deny"
"$reglocation\SOFTWARE\Microsoft\Windows\CurrentVersion\CapabilityAccessManager\ConsentStore\email","REG_SZ","Value","Deny"
"$reglocation\SOFTWARE\Microsoft\Windows\CurrentVersion\CapabilityAccessManager\ConsentStore\location","REG_SZ","Value","Deny"
"$reglocation\SOFTWARE\Microsoft\Windows\CurrentVersion\CapabilityAccessManager\ConsentStore\microphone","REG_SZ","Value","Deny"
"$reglocation\SOFTWARE\Microsoft\Windows\CurrentVersion\CapabilityAccessManager\ConsentStore\phoneCallHistory","REG_SZ","Value","Deny"
"$reglocation\SOFTWARE\Microsoft\Windows\CurrentVersion\CapabilityAccessManager\ConsentStore\picturesLibrary","REG_SZ","Value","Deny"
"$reglocation\SOFTWARE\Microsoft\Windows\CurrentVersion\CapabilityAccessManager\ConsentStore\userAccountInformation","REG_SZ","Value","Deny"
"$reglocation\SOFTWARE\Microsoft\Windows\CurrentVersion\CapabilityAccessManager\ConsentStore\userDataTasks","REG_SZ","Value","Deny"
"$reglocation\SOFTWARE\Microsoft\Windows\CurrentVersion\CapabilityAccessManager\ConsentStore\videosLibrary","REG_SZ","Value","Deny"
"$reglocation\SOFTWARE\Microsoft\Windows\CurrentVersion\CapabilityAccessManager\ConsentStore\webcam","REG_SZ","Value","Deny"
"$reglocation\SOFTWARE\Microsoft\Windows\CurrentVersion\CDP","REG_DWORD","CdpSessionUserAuthzPolicy","0"
"$reglocation\SOFTWARE\Microsoft\Windows\CurrentVersion\CDP","REG_DWORD","RomeSdkChannelUserAuthzPolicy","0"
"$reglocation\SOFTWARE\Microsoft\Windows\CurrentVersion\ContentDeliveryManager","REG_DWORD","ContentDeliveryAllowed","0"
"$reglocation\SOFTWARE\Microsoft\Windows\CurrentVersion\ContentDeliveryManager","REG_DWORD","OEMPreInstalledAppsEnabled","0"
"$reglocation\SOFTWARE\Microsoft\Windows\CurrentVersion\ContentDeliveryManager","REG_DWORD","PreInstalledAppsEnabled","0"
"$reglocation\SOFTWARE\Microsoft\Windows\CurrentVersion\ContentDeliveryManager","REG_DWORD","PreInstalledAppsEverEnabled","0"
"$reglocation\SOFTWARE\Microsoft\Windows\CurrentVersion\ContentDeliveryManager","REG_DWORD","RotatingLockScreenEnabled","0"
"$reglocation\SOFTWARE\Microsoft\Windows\CurrentVersion\ContentDeliveryManager","REG_DWORD","RotatingLockScreenOverlayEnabled","0"
